OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
,58,959,שטח ללא שיפוט,שטח פתוח,0,1151851,פנאי/טבע/ספורט,0,3,0,0,1,0,0,1,0,1,2,0,0,0,2,2,50.353713941997377,202204,4931.087212722710319,1151851.481438100337982
,0,1610,רואבי,לא ידוע,0,3791772,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202204,7939.857873513933555,3791772.491296899039298
,51,2315,עמיר שדה נחמיה כפר בלום שמיר להבות הבשן נאות מרדכי גונן,מגורים,5327,106296188,מגורים,0,1,0,0,2,0,0,1,1,2,2,0,0,0,2,2,0.479791428279415,202204,61202.266353344195522,106296188.289339929819107
,22,561,ראשון לציון,מגורים,8866,789515,מגורים,8300,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,27.865226569227477,202204,3723.715538608673796,789514.484848845633678
,0,1203,ירושלים,שטח פתוח,0,1197759,פנאי/טבע/ספורט,3000,3,,,,,,,,,,,,,,,0.000000000000000,202204,5921.112911384024301,1197758.731916900957003
,0,2575,בסיס חיל האוויר צור,בסיס צבאי,0,9574748,מוסדי/ציבורי,0,2,,,,,,,,,,,,,,,0.000000000000000,202204,13798.965182793712302,9574748.443156750872731
,22,154,כפר שמריהו,מגורים,1890,1506255,מגורים,267,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,14.605760940725803,202204,5180.122593858227447,1506254.969479649327695
,10,1845,החותרים מגדים,מגורים,2138,7711528,מגורים,0,1,0,1,0,1,0,1,0,1,2,0,1,0,1,2,1.296759927003647,202204,17196.164427756462828,7711527.624937070533633
,5,796,גדרה,מגורים,7412,1170609,מגורים,2550,1,1,0,0,1,0,1,0,1,2,0,0,0,2,2,4.271279602681902,202204,4746.929514806724910,1170609.387608467834070
,17,2408,באר שבע,מגורים,2219,345749,מגורים,9000,1,0,0,2,0,0,2,0,2,2,0,0,0,2,2,49.168634648569792,202204,3392.214615299168145,345748.872660520253703
,0,1438,שמורת טבע נחל דולב,שמורת טבע,0,409002,פנאי/טבע/ספורט,0,3,,,,,,,,,,,,,,,0.000000000000000,202204,2906.309076204803205,409002.346156799525488
,5,389,רעננה,מגורים,3640,493317,מגורים,8700,1,0,0,2,0,0,1,1,2,2,0,0,0,2,2,10.135475611673371,202204,2879.973260999401191,493316.761005406617187
,85,1040,תל אביב -יפו,תעשיה+מגורים,8455,555281,מגורים,5000,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,153.075752191515875,202204,3125.279304819210665,555280.629251162870787
,9,7,תל אביב -יפו,מכללה אקדמאית,0,324383,מוסדי/ציבורי,5000,2,0,0,1,0,0,1,0,1,2,0,0,0,2,2,27.744967903519306,202204,2650.204537844117112,324383.146929443581030
,21,1682,חיפה,מגורים,3567,213937,מגורים,4000,1,0,1,0,0,1,0,0,1,2,1,0,0,1,2,98.159753477920489,202204,2282.782785635567052,213936.967605808255030
,17,889,אלישמע,מגורים,1200,2724393,מגורים,0,1,0,0,4,0,0,4,0,4,2,0,0,0,2,2,6.239922805400987,202204,7808.612094163070651,2724392.677628254052252
,41,2261,פרדס חנה-כרכור,מגורים,11114,3232048,מגורים,0,1,0,0,1,0,1,0,0,1,2,0,0,1,1,2,12.685456161010384,202204,8842.768431656868415,3232047.746616814751178
,4,1531,בית ג'אלא,לא ידוע,0,2152519,עתידי/לא ידוע,0,5,1,0,0,0,0,1,0,1,2,0,0,0,1,2,1.858287668235344,202204,7145.028436362951652,2152519.261885031592101
,8,482,לוד,מגורים,3591,242182,מגורים,7000,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,33.032984826394362,202204,2488.288195543249913,242182.171609504584922
,22,1149,ירושלים,מגורים,14692,371528,מגורים,3000,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,59.214858024707553,202204,4242.270819375667088,371528.375375322881155
,34,100,תל אביב -יפו,מגורים,2313,202804,מגורים,5000,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,167.649325623545963,202204,1973.678219194432359,202804.275373862765264
,1,1791,קריית ים,מגורים,2336,244389,מגורים,9600,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,4.091833301821417,202204,2357.016560914951242,244389.232463322812691
,4,2480,אשקלון,מגורים,8346,357607,מגורים,7100,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,11.185467886434042,202204,2803.407157875672510,357606.855664149683435
,6,742,מודיעין-מכבים-רעות*,מגורים,5033,352983,מגורים,1200,1,0,0,2,0,0,1,1,2,2,0,0,0,2,2,16.997988017703779,202204,3075.964920951378190,352982.952673626306932
,79,2098,כאוכב אבו אל-היג'א יודפת שכניה מנוף מורשת קורנית,מגורים,8441,34268119,מגורים,0,1,0,0,3,0,1,2,0,3,4,0,0,0,4,4,2.305349771853686,202204,40237.800582077616127,34268118.861840948462486
,0,1368,ביתוניא צפון,לא ידוע,0,6408019,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202204,13586.216714453907116,6408018.699413002468646
,1,335,חולון,מגורים,1324,267426,מגורים,6600,1,0,0,2,0,0,2,0,2,2,0,1,0,1,2,3.739352539704428,202204,2219.692014625338288,267425.975321129721124
,25,2010,פסוטה אלקוש נטועה מתת אבירים,מגורים,4154,45645619,מגורים,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0.547697689854925,202204,44108.842697483043594,45645618.857041485607624
